3082|3043|1|[Europe]|[13]|[Europe - Champions League]|[38_22912]|[Final]|[available]|[England]|[Denmark]|[Tottenham Hotspur]|[22912]|[2018/2019]|[male]|[2018/2019]|[38]|[Champions League]|[2019-06-01 00:00:00]
4629|3551|2|[Spain]|[30, 14]|[Spain - La Liga]|[222_16240, 222_16079]|[Regular Season]|[available]|[Argentina]|[Cameroon]|[Villarreal]|[16240, 16079]|[2018/2019]|[male]|[2018/2019]|[222]|[La Liga]|[2019-04-02 00:00:00, 2018-12-02 00:00:00]
4826|3557|2|[International]|[1, 2]|[International - FIFA World Cup]|[777_7537, 777_7552]|[Group Stage]|[available]|[Tunisia]|[Tunisia]|[Tunisia]|[7552, 7537]|[2018]|[male]|[2018]|[777]|[FIFA World Cup]|[2018-06-23 00:00:00, 2018-06-18 00:00:00]
4988|4967|4|[United States of America]|[15, 19, 9, 6]|[United States of America - NWSL]|[763_7521, 763_7492, 763_7490, 763_7456]|[Regular Season]|[available]|[United States of America]|[Costa Rica]|[Sky Blue FC]|[7521, 7456, 7490, 7492]|[2018]|[female]|[2018]|[763]|[NWSL]|[2018-07-22 00:00:00, 2018-08-06 00:00:00, 2018-05-20 00:00:00, 2018-06-03 00:00:00]
5023|4943|4|[United States of America]|[17, 3, 19, 6]|[United States of America - NWSL]|[759_7496, 759_7493, 759_7445, 759_7430]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Washington Spirit]|[7445, 7430, 7493, 7496]|[2018]|[female]|[2018]|[759]|[NWSL]|[2018-08-06 00:00:00, 2018-05-06 00:00:00, 2018-08-09 00:00:00, 2018-04-15 00:00:00]
5029|5023|5|[United States of America]|[17, 3, 19, 7, 6]|[United States of America - NWSL]|[759_7451, 759_7496, 759_7493, 759_7445, 759_7430]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Washington Spirit]|[7430, 7451, 7445, 7493, 7496]|[2018]|[female]|[2018]|[759]|[NWSL]|[2018-08-06 00:00:00, 2018-05-13 00:00:00, 2018-05-06 00:00:00, 2018-08-09 00:00:00, 2018-04-15 00:00:00]
5063|5060|3|[United States of America]|[14, 9, 10]|[United States of America - NWSL]|[764_7457, 764_7524, 764_7523]|[Regular Season]|[available]|[United States of America]|[Brazil]|[Orlando Pride]|[7523, 7524, 7457]|[2018]|[female]|[2018]|[764]|[NWSL]|[2018-05-24 00:00:00, 2018-07-12 00:00:00, 2018-06-04 00:00:00]
5070|5062|6|[United States of America]|[15, 16, 19, 9, 10]|[United States of America - NWSL]|[764_7492, 764_7471, 764_7457, 764_7483, 764_7479, 764_7523]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Orlando Pride]|[7523, 7457, 7492, 7483, 7479, 7471]|[2018]|[female]|[2018]|[764]|[NWSL]|[2018-05-24 00:00:00, 2018-06-30 00:00:00, 2018-08-06 00:00:00, 2018-06-04 00:00:00, 2018-07-15 00:00:00, 2018-07-08 00:00:00]
5086|5076|6|[United States of America]|[20, 15, 16, 14, 19, 9]|[United States of America - NWSL]|[764_7492, 764_7500, 764_7471, 764_7457, 764_7524, 764_7479]|[Regular Season]|[available]|[United States of America]|[Australia]|[Orlando Pride]|[7524, 7457, 7492, 7500, 7479, 7471]|[2018]|[female]|[2018]|[764]|[NWSL]|[2018-05-24 00:00:00, 2018-06-30 00:00:00, 2018-07-12 00:00:00, 2018-08-06 00:00:00, 2018-07-08 00:00:00, 2018-08-12 00:00:00]
5098|4978|5|[United States of America]|[13, 15, 14, 6]|[United States of America - NWSL]|[763_7473, 763_7476, 763_7484, 763_7490, 763_7456]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Sky Blue FC]|[7473, 7456, 7490, 7484, 7476]|[2018]|[female]|[2018]|[763]|[NWSL]|[2018-07-01 00:00:00, 2018-07-22 00:00:00, 2018-07-15 00:00:00, 2018-07-08 00:00:00, 2018-05-20 00:00:00]
