5100|5013|6|[International]|[3, 1, 5, 4, 7, 6]|[International - Women's World Cup]|[1214_69258, 1214_69202, 1214_68345, 1214_69321, 1214_22943, 1214_69161]|[Final, Regular Season, Semi-finals, Round of 16]|[available]|[United States of America]|[United States of America]|[United States Women's]|[69161, 68345, 69321, 22943, 69202, 69258]|[2019]|[female]|[2019]|[1214]|[Women's World Cup]|[2019-06-11 00:00:00, 2019-06-24 00:00:00, 2019-06-20 00:00:00, 2019-07-07 00:00:00, 2019-06-28 00:00:00, 2019-07-02 00:00:00]
5101|4987|3|[United States of America]|[13, 15, 19]|[United States of America - NWSL]|[767_7473, 767_7496, 767_7477]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Utah Royals]|[7473, 7477, 7496]|[2018]|[female]|[2018]|[767]|[NWSL]|[2018-07-01 00:00:00, 2018-07-07 00:00:00, 2018-08-09 00:00:00]
5199|3509|6|[Spain, Europe]|[25, 38, 16, 19, 35, 7]|[Europe - Champions League, Spain - La Liga]|[212_69337, 212_266256, 212_18241, 212_70296, 212_265830, 212_70284]|[Final, Regular Season]|[available]|[Spain]|[Belgium]|[Atlético Madrid]|[266256, 265830, 69337, 18241, 70284, 70296]|[2011/2012, 2012/2013, 2013/2014]|[male]|[2011/2012, 2012/2013, 2013/2014]|[212]|[La Liga, Champions League]|[2012-12-16 00:00:00, 2014-05-17 00:00:00, 2013-05-12 00:00:00, 2014-05-24 00:00:00, 2012-02-26 00:00:00, 2014-01-11 00:00:00]
5208|3478|34|[Spain]|[29, 3, 23, 21, 15, 2, 30, 5, 37, 32, 24, 4, 14, 22, 35, 9, 28, 33, 13, 17, 12, 27, 19, 34, 6, 18]|[Spain - La Liga]|[217_69331, 217_70219, 217_70280, 217_267502, 217_69332, 217_70260, 217_70221, 217_70263, 217_69268, 217_69330, 217_70292, 217_70220, 217_69324, 217_70295, 217_70275, 217_70223, 217_266433, 217_70305, 217_69297, 217_69328, 217_69327, 217_266827, 217_69264, 217_69336, 217_70307, 217_70282, 217_69316, 217_69320, 217_69338, 217_70270, 217_70256, 217_69325, 217_70294, 217_69329]|[Regular Season]|[available]|[Spain]|[Spain]|[Barcelona]|[69328, 70256, 70220, 70223, 69324, 70305, 70294, 69338, 70282, 69329, 70263, 70295, 70219, 266827, 70221, 69320, 70307, 70260, 69332, 69327, 70280, 69330, 69268, 70270, 69336, 69316, 69297, 70292, 69264, 70275, 69331, 69325, 266433, 267502]|[2011/2012, 2012/2013]|[male]|[2011/2012, 2012/2013]|[217]|[La Liga]|[2012-12-09 00:00:00, 2013-03-30 00:00:00, 2013-03-09 00:00:00, 2011-09-17 00:00:00, 2011-09-24 00:00:00, 2012-04-07 00:00:00, 2011-09-21 00:00:00, 2012-02-11 00:00:00, 2011-09-10 00:00:00, 2012-04-21 00:00:00, 2013-01-27 00:00:00, 2013-03-17 00:00:00, 2013-01-13 00:00:00, 2011-10-22 00:00:00, 2011-08-29 00:00:00, 2013-02-03 00:00:00, 2012-01-28 00:00:00, 2012-11-25 00:00:00, 2013-04-27 00:00:00, 2012-02-04 00:00:00, 2013-02-16 00:00:00, 2013-01-06 00:00:00, 2011-11-06 00:00:00, 2012-03-24 00:00:00, 2011-11-19 00:00:00, 2012-01-15 00:00:00, 2012-05-05 00:00:00, 2012-09-29 00:00:00, 2012-02-19 00:00:00, 2012-12-01 00:00:00, 2012-09-15 00:00:00, 2012-09-22 00:00:00, 2012-04-14 00:00:00, 2011-11-29 00:00:00]
5257|3568|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[774_7559, 774_7578, 774_7540]|[Group Stage]|[available]|[Egypt]|[Egypt]|[Egypt]|[7578, 7540, 7559]|[2018]|[male]|[2018]|[774]|[FIFA World Cup]|[2018-06-25 00:00:00, 2018-06-15 00:00:00, 2018-06-19 00:00:00]
5467|3338|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[775_7564, 775_7529, 775_7549]|[Group Stage]|[available]|[Nigeria]|[Nigeria]|[Nigeria]|[7564, 7529, 7549]|[2018]|[male]|[2018]|[775]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-26 00:00:00, 2018-06-22 00:00:00]
5506|5477|4|[Spain]|[3, 4, 19, 18]|[Spain - La Liga]|[217_9592, 217_9754, 217_9742, 217_9602]|[Regular Season]|[available]|[Argentina]|[France]|[Barcelona]|[9602, 9754, 9592, 9742]|[2017/2018]|[male]|[2017/2018]|[217]|[La Liga]|[2017-09-09 00:00:00, 2018-01-07 00:00:00, 2018-01-14 00:00:00, 2017-09-16 00:00:00]
5615|5605|2|[International]|[3, 1]|[International - FIFA World Cup]|[790_7566, 790_7538]|[Group Stage]|[available]|[Sweden]|[Sweden]|[Sweden]|[7566, 7538]|[2018]|[male]|[2018]|[790]|[FIFA World Cup]|[2018-06-18 00:00:00, 2018-06-27 00:00:00]
5617|5605|2|[International]|[3, 1]|[International - FIFA World Cup]|[790_7566, 790_7538]|[Group Stage]|[available]|[Sweden]|[Sweden]|[Sweden]|[7566, 7538]|[2018]|[male]|[2018]|[790]|[FIFA World Cup]|[2018-06-18 00:00:00, 2018-06-27 00:00:00]
5622|5617|4|[International]|[3, 1, 2, 5]|[International - FIFA World Cup]|[790_7566, 790_7551, 790_8651, 790_7538]|[Group Stage, Quarter-finals]|[available]|[Sweden]|[Sweden]|[Sweden]|[7566, 8651, 7551, 7538]|[2018]|[male]|[2018]|[790]|[FIFA World Cup]|[2018-06-23 00:00:00, 2018-07-07 00:00:00, 2018-06-18 00:00:00, 2018-06-27 00:00:00]
