5080|5038|1|[United States of America]|[3]|[United States of America - NWSL]|[766_7430]|[Regular Season]|[available]|[United States of America]|[Canada]|[North Carolina Courage]|[7430]|[2018]|[female]|[2018]|[766]|[NWSL]|[2018-04-15 00:00:00]
5090|5030|5|[International]|[3, 5, 4, 7, 6]|[International - Women's World Cup]|[1214_69258, 1214_69202, 1214_68345, 1214_69321, 1214_69161]|[Final, Regular Season, Semi-finals, Round of 16]|[available]|[United States of America]|[United States of America]|[United States Women's]|[69161, 68345, 69321, 69202, 69258]|[2019]|[female]|[2019]|[1214]|[Women's World Cup]|[2019-06-24 00:00:00, 2019-07-07 00:00:00, 2019-06-20 00:00:00, 2019-06-28 00:00:00, 2019-07-02 00:00:00]
5095|5000|4|[International]|[3, 1, 2, 4]|[International - Women's World Cup]|[1205_22933, 1205_68357, 1205_68311, 1205_22955]|[Regular Season]|[available]|[Australia]|[Australia]|[Australia Women's]|[68311, 22955, 22933, 68357]|[2019]|[female]|[2019]|[1205]|[Women's World Cup]|[2019-06-09 00:00:00, 2019-06-18 00:00:00, 2019-06-13 00:00:00, 2019-06-22 00:00:00]
5105|4942|1|[United States of America]|[6]|[United States of America - NWSL]|[761_7444]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Chicago Red Stars]|[7444]|[2018]|[female]|[2018]|[761]|[NWSL]|[2018-05-06 00:00:00]
5105|4957|1|[United States of America]|[6]|[United States of America - NWSL]|[761_7444]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Chicago Red Stars]|[7444]|[2018]|[female]|[2018]|[761]|[NWSL]|[2018-05-06 00:00:00]
5211|4324|73|[Spain, Europe]|[29, 1, 15, 30, 8, 32, 16, 11, 4, 7, 13, 17, 31, 38, 19, 3, 23, 21, 26, 2, 37, 24, 22, 28, 35, 33, 14, 10, 36, 25, 20, 12, 34, 6, 18]|[Europe - Champions League, Spain - La Liga]|[217_266664, 217_267502, 217_70301, 217_265857, 217_267183, 217_266871, 217_266620, 217_70284, 217_70306, 217_266056, 217_266961, 217_266310, 217_266230, 217_70275, 217_70291, 217_70287, 217_265944, 217_267597, 217_267301, 217_266424, 217_266827, 217_267533, 217_266015, 217_265958, 217_70307, 217_266074, 217_70296, 217_266240, 217_266916, 217_266770, 217_266560, 217_266320, 217_265839, 217_70259, 217_70294, 217_267576, 217_266670, 217_70264, 217_267273, 217_266724, 217_266148, 217_18242, 217_70280, 217_70297, 217_265830, 217_70308, 217_266631, 217_265896, 217_70300, 217_266406, 217_70286, 217_70262, 217_266160, 217_266885, 217_266921, 217_267274, 217_70303, 217_266433, 217_266613, 217_266106, 217_265835, 217_265866, 217_70281, 217_266254, 217_70282, 217_70272, 217_266986, 217_267506, 217_266142, 217_70298, 217_266236, 217_267343, 217_266531]|[Final, Regular Season]|[available]|[Spain]|[Brazil]|[Barcelona]|[266320, 70262, 266724, 70298, 267273, 70301, 266531, 265835, 265866, 267343, 265896, 70282, 267533, 70308, 265830, 266961, 266770, 70297, 266631, 265857, 266885, 267274, 266670, 267576, 267183, 266142, 18242, 70264, 266310, 266406, 266424, 70287, 266871, 266106, 70306, 265944, 266015, 266433, 267506, 265958, 70284, 70296, 70291, 266620, 70259, 266921, 70294, 266148, 265839, 267597, 266254, 70303, 266827, 266160, 266560, 70307, 266916, 266240, 70272, 70281, 266986, 70280, 70286, 267301, 266613, 266236, 266056, 70275, 70300, 266230, 267502, 266074, 266664]|[2015/2016, 2012/2013, 2013/2014, 2014/2015]|[male]|[2015/2016, 2012/2013, 2013/2014, 2014/2015]|[217]|[La Liga, Champions League]|[2016-02-14 00:00:00, 2014-11-22 00:00:00, 2016-02-20 00:00:00, 2013-02-10 00:00:00, 2016-02-28 00:00:00, 2013-05-12 00:00:00, 2012-08-19 00:00:00, 2014-03-23 00:00:00, 2015-06-06 00:00:00, 2012-11-11 00:00:00, 2013-02-03 00:00:00, 2012-11-25 00:00:00, 2016-05-08 00:00:00, 2012-09-02 00:00:00, 2016-04-23 00:00:00, 2015-04-11 00:00:00, 2014-01-11 00:00:00, 2012-12-22 00:00:00, 2016-04-30 00:00:00, 2013-01-06 00:00:00, 2012-09-29 00:00:00, 2015-04-25 00:00:00, 2012-08-26 00:00:00, 2012-12-16 00:00:00, 2016-01-30 00:00:00, 2016-01-02 00:00:00, 2015-02-08 00:00:00, 2015-02-28 00:00:00, 2015-05-02 00:00:00, 2014-08-24 00:00:00, 2015-02-01 00:00:00, 2015-02-21 00:00:00, 2015-01-18 00:00:00, 2015-08-23 00:00:00, 2016-03-06 00:00:00, 2016-01-09 00:00:00, 2015-03-08 00:00:00, 2012-10-07 00:00:00, 2012-11-03 00:00:00, 2016-03-20 00:00:00, 2016-04-09 00:00:00, 2013-03-17 00:00:00, 2013-01-13 00:00:00, 2013-09-14 00:00:00, 2014-08-31 00:00:00, 2013-03-02 00:00:00, 2014-03-16 00:00:00, 2014-12-13 00:00:00, 2013-04-27 00:00:00, 2014-01-26 00:00:00, 2016-04-02 00:00:00, 2013-02-16 00:00:00, 2015-05-17 00:00:00, 2015-11-28 00:00:00, 2015-03-22 00:00:00, 2015-12-12 00:00:00, 2014-11-30 00:00:00, 2015-01-11 00:00:00, 2016-04-20 00:00:00, 2014-09-21 00:00:00, 2013-09-01 00:00:00, 2013-05-05 00:00:00, 2015-01-04 00:00:00, 2016-02-07 00:00:00, 2014-02-01 00:00:00, 2014-03-29 00:00:00, 2016-05-14 00:00:00, 2014-11-01 00:00:00, 2014-10-18 00:00:00, 2013-01-19 00:00:00, 2015-11-21 00:00:00, 2014-12-07 00:00:00, 2015-12-05 00:00:00]
5211|5202|2|[International]|[1, 4]|[International - FIFA World Cup]|[772_7576, 772_7582]|[Group Stage, Round of 16]|[available]|[Spain]|[Spain]|[Spain]|[7582, 7576]|[2018]|[male]|[2018]|[772]|[FIFA World Cup]|[2018-07-01 00:00:00, 2018-06-15 00:00:00]
5213|4891|16|[Spain, Europe]|[29, 23, 21, 1, 30, 32, 24, 22, 35, 36, 25, 38, 19, 34, 18]|[Europe - Champions League, Spain - La Liga]|[217_69234, 217_69303, 217_69276, 217_69283, 217_69272, 217_69304, 217_69296, 217_69282, 217_69278, 217_69245, 217_69319, 217_69280, 217_69248, 217_70291, 217_18236, 217_69246]|[Final, Regular Season]|[available]|[Spain]|[Netherlands]|[Barcelona]|[69280, 70291, 69278, 69234, 69303, 69276, 69304, 69283, 69319, 69248, 69246, 69245, 69272, 18236, 69296, 69282]|[2010/2011, 2011/2012, 2013/2014]|[male]|[2010/2011, 2011/2012, 2013/2014]|[217]|[La Liga, Champions League]|[2011-03-19 00:00:00, 2012-05-12 00:00:00, 2011-01-16 00:00:00, 2011-02-20 00:00:00, 2011-04-16 00:00:00, 2011-04-02 00:00:00, 2011-02-12 00:00:00, 2011-05-28 00:00:00, 2011-04-30 00:00:00, 2011-02-26 00:00:00, 2011-05-08 00:00:00, 2011-05-11 00:00:00, 2011-02-05 00:00:00, 2011-01-08 00:00:00, 2014-01-26 00:00:00, 2011-01-29 00:00:00]
5241|5220|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[797_7557, 797_7543, 797_7577]|[Group Stage]|[available]|[Iran, Islamic Republic of]|[Iran, Islamic Republic of]|[Iran]|[7543, 7577, 7557]|[2018]|[male]|[2018]|[797]|[FIFA World Cup]|[2018-06-25 00:00:00, 2018-06-20 00:00:00, 2018-06-15 00:00:00]
5472|5249|2|[Spain]|[37, 18]|[Spain - La Liga]|[212_266631, 212_70303]|[Regular Season]|[available]|[Croatia]|[Uruguay]|[Atlético Madrid]|[266631, 70303]|[2014/2015]|[male]|[2014/2015]|[212]|[La Liga]|[2015-05-17 00:00:00, 2015-01-11 00:00:00]
