5470|3515|3|[Spain]|[25, 23, 4]|[Spain - La Liga]|[213_70271, 213_267675, 213_70301]|[Regular Season]|[available]|[Croatia]|[Spain]|[Sevilla]|[70271, 267675, 70301]|[2012/2013, 2013/2014]|[male]|[2012/2013, 2013/2014]|[213]|[La Liga]|[2014-02-09 00:00:00, 2013-09-14 00:00:00, 2013-02-23 00:00:00]
5493|5483|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[792_7562, 792_7547, 792_7530]|[Group Stage]|[available]|[Australia]|[Australia]|[Australia]|[7562, 7530, 7547]|[2018]|[male]|[2018]|[792]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-21 00:00:00, 2018-06-26 00:00:00]
5506|5203|172|[Spain, Europe]|[29, 1, 15, 5, 30, 8, 32, 11, 16, 4, 9, 7, 17, 13, 31, 38, 19, 3, 23, 21, 26, 2, 37, 24, 28, 22, 33, 35, 14, 10, 36, 25, 20, 12, 27, 34, 6, 18]|[Europe - Champions League, Spain - La Liga]|[217_266664, 217_266066, 217_266166, 217_70301, 217_266467, 217_266989, 217_266603, 217_70306, 217_266056, 217_266961, 217_266310, 217_69323, 217_267611, 217_69324, 217_70295, 217_70293, 217_70275, 217_70291, 217_70305, 217_265944, 217_70287, 217_267597, 217_69234, 217_267301, 217_70271, 217_266952, 217_266149, 217_69282, 217_267533, 217_266015, 217_69308, 217_70307, 217_9736, 217_266117, 217_265894, 217_69319, 217_266669, 217_266240, 217_266074, 217_267660, 217_266770, 217_70270, 217_266815, 217_266320, 217_70224, 217_70259, 217_267076, 217_266490, 217_70294, 217_266670, 217_18242, 217_266724, 217_267395, 217_9726, 217_265830, 217_69274, 217_70263, 217_267085, 217_69343, 217_69330, 217_70220, 217_266160, 217_9592, 217_267274, 217_266045, 217_9636, 217_266741, 217_265952, 217_267422, 217_266106, 217_267220, 217_70288, 217_69327, 217_69304, 217_70282, 217_69316, 217_266986, 217_69265, 217_267506, 217_69269, 217_69335, 217_266236, 217_70283, 217_70304, 217_69318, 217_69260, 217_69322, 217_70219, 217_266440, 217_70260, 217_69337, 217_265857, 217_266557, 217_267183, 217_266280, 217_9602, 217_266528, 217_267590, 217_266201, 217_266230, 217_267492, 217_70223, 217_266653, 217_69289, 217_9754, 217_267101, 217_9620, 217_9642, 217_9575, 217_266424, 217_267138, 217_69271, 217_266827, 217_266256, 217_265958, 217_70277, 217_69320, 217_69325, 217_266560, 217_70289, 217_69329, 217_18236, 217_69246, 217_266033, 217_267576, 217_266191, 217_266148, 217_70273, 217_266525, 217_267368, 217_266631, 217_69272, 217_70221, 217_9581, 217_70308, 217_70300, 217_70286, 217_9673, 217_266299, 217_266477, 217_69268, 217_266892, 217_70292, 217_266885, 217_266921, 217_70303, 217_9609, 217_267077, 217_69275, 217_267327, 217_266613, 217_69314, 217_266491, 217_267520, 217_9650, 217_69302, 217_266846, 217_69297, 217_265918, 217_265866, 217_69270, 217_266794, 217_69333, 217_266254, 217_69263, 217_70272, 217_69338, 217_70298, 217_267499, 217_69326, 217_267343, 217_266531]|[Final, Regular Season]|[available]|[Argentina]|[Spain]|[Barcelona]|[70283, 266320, 9650, 70224, 267368, 70298, 69335, 70301, 9642, 267343, 70289, 265952, 9636, 69319, 70308, 70293, 265830, 70295, 266961, 9673, 69314, 266741, 266631, 70219, 18236, 69320, 69323, 70221, 266033, 266256, 266201, 69327, 69330, 18242, 266952, 69271, 69322, 69316, 266424, 9754, 266892, 69269, 69297, 266440, 70292, 265944, 267506, 265958, 69272, 266989, 70291, 266191, 70259, 267590, 266846, 266921, 70305, 69308, 69265, 267085, 70294, 266148, 70263, 9609, 267077, 266254, 267597, 266525, 266827, 267101, 266160, 266560, 70260, 266240, 70272, 266490, 267301, 69268, 266056, 266603, 9602, 70271, 69270, 70275, 266066, 70300, 9726, 266664, 266117, 9581, 266166, 266724, 267327, 267611, 266531, 265866, 69326, 69338, 70282, 266794, 267422, 69304, 69329, 267533, 266653, 267076, 69275, 266770, 69333, 265857, 266885, 267274, 266670, 267576, 267183, 9592, 266310, 70270, 69234, 69337, 70273, 69302, 70287, 69263, 266106, 267492, 70306, 69246, 265894, 266528, 266015, 69318, 266669, 9736, 70220, 9620, 266299, 267220, 70223, 69324, 266280, 70288, 266815, 266557, 267520, 267660, 265918, 267138, 70303, 69282, 70307, 69260, 69343, 266477, 266986, 70286, 266613, 267395, 266491, 266236, 266467, 9575, 70277, 266149, 267499, 69325, 266230, 266045, 70304, 69289, 266074, 69274]|[2010/2011, 2011/2012, 2015/2016, 2012/2013, 2013/2014, 2016/2017, 2017/2018, 2014/2015]|[male]|[2010/2011, 2011/2012, 2015/2016, 2012/2013, 2013/2014, 2016/2017, 2017/2018, 2014/2015]|[217]|[La Liga, Champions League]|[2016-02-14 00:00:00, 2011-09-17 00:00:00, 2015-08-29 00:00:00, 2017-09-23 00:00:00, 2017-04-08 00:00:00, 2011-09-24 00:00:00, 2012-04-07 00:00:00, 2012-04-21 00:00:00, 2014-03-23 00:00:00, 2012-01-28 00:00:00, 2014-05-11 00:00:00, 2016-05-08 00:00:00, 2013-02-23 00:00:00, 2012-01-22 00:00:00, 2014-01-11 00:00:00, 2015-05-09 00:00:00, 2016-04-30 00:00:00, 2016-11-06 00:00:00, 2015-01-24 00:00:00, 2017-01-14 00:00:00, 2015-09-23 00:00:00, 2012-05-05 00:00:00, 2011-10-25 00:00:00, 2014-09-27 00:00:00, 2016-10-15 00:00:00, 2010-10-16 00:00:00, 2012-09-15 00:00:00, 2016-01-02 00:00:00, 2012-03-11 00:00:00, 2016-01-17 00:00:00, 2017-01-08 00:00:00, 2015-05-02 00:00:00, 2014-04-05 00:00:00, 2017-03-19 00:00:00, 2015-02-21 00:00:00, 2015-01-18 00:00:00, 2015-08-23 00:00:00, 2012-12-09 00:00:00, 2012-11-03 00:00:00, 2011-03-02 00:00:00, 2012-03-17 00:00:00, 2017-03-12 00:00:00, 2016-09-10 00:00:00, 2016-03-20 00:00:00, 2011-02-20 00:00:00, 2011-12-03 00:00:00, 2017-08-26 00:00:00, 2016-04-09 00:00:00, 2011-04-02 00:00:00, 2012-02-26 00:00:00, 2013-08-18 00:00:00, 2013-01-27 00:00:00, 2017-12-23 00:00:00, 2015-12-30 00:00:00, 2011-05-28 00:00:00, 2011-10-22 00:00:00, 2013-09-14 00:00:00, 2013-03-02 00:00:00, 2016-12-18 00:00:00, 2014-03-16 00:00:00, 2017-11-04 00:00:00, 2014-04-12 00:00:00, 2016-04-02 00:00:00, 2013-02-16 00:00:00, 2017-10-01 00:00:00, 2015-11-28 00:00:00, 2012-10-20 00:00:00, 2015-12-12 00:00:00, 2015-09-26 00:00:00, 2014-11-30 00:00:00, 2016-03-03 00:00:00, 2016-09-21 00:00:00, 2017-12-17 00:00:00, 2015-01-04 00:00:00, 2016-02-07 00:00:00, 2014-02-01 00:00:00, 2017-09-16 00:00:00, 2017-03-01 00:00:00, 2011-05-08 00:00:00, 2014-10-25 00:00:00, 2017-10-21 00:00:00, 2015-09-20 00:00:00, 2013-01-19 00:00:00, 2012-09-22 00:00:00, 2016-04-17 00:00:00, 2014-12-07 00:00:00, 2014-11-08 00:00:00, 2012-05-12 00:00:00, 2014-02-15 00:00:00, 2010-11-07 00:00:00, 2014-05-03 00:00:00, 2012-08-19 00:00:00, 2010-09-19 00:00:00, 2011-09-21 00:00:00, 2010-12-12 00:00:00, 2013-09-24 00:00:00, 2017-03-04 00:00:00, 2015-06-06 00:00:00, 2010-10-30 00:00:00, 2015-02-15 00:00:00, 2014-03-02 00:00:00, 2012-11-11 00:00:00, 2013-02-03 00:00:00, 2011-05-11 00:00:00, 2016-02-17 00:00:00, 2012-09-02 00:00:00, 2016-04-23 00:00:00, 2017-05-06 00:00:00, 2012-12-22 00:00:00, 2014-09-13 00:00:00, 2017-10-14 00:00:00, 2012-03-24 00:00:00, 2016-12-03 00:00:00, 2012-04-10 00:00:00, 2012-09-29 00:00:00, 2015-04-25 00:00:00, 2011-04-23 00:00:00, 2016-01-30 00:00:00, 2011-04-30 00:00:00, 2018-01-14 00:00:00, 2015-02-28 00:00:00, 2014-08-24 00:00:00, 2015-02-01 00:00:00, 2016-03-06 00:00:00, 2012-04-14 00:00:00, 2012-10-07 00:00:00, 2017-04-29 00:00:00, 2017-09-09 00:00:00, 2017-09-19 00:00:00, 2016-01-23 00:00:00, 2013-03-09 00:00:00, 2014-04-27 00:00:00, 2016-11-27 00:00:00, 2011-10-02 00:00:00, 2013-03-17 00:00:00, 2013-01-13 00:00:00, 2017-08-20 00:00:00, 2010-11-13 00:00:00, 2016-08-28 00:00:00, 2015-09-12 00:00:00, 2014-12-20 00:00:00, 2016-10-22 00:00:00, 2011-08-29 00:00:00, 2011-10-29 00:00:00, 2014-01-26 00:00:00, 2017-04-05 00:00:00, 2013-11-01 00:00:00, 2012-02-04 00:00:00, 2017-04-26 00:00:00, 2015-05-17 00:00:00, 2010-10-23 00:00:00, 2015-03-22 00:00:00, 2011-11-06 00:00:00, 2015-04-18 00:00:00, 2015-01-11 00:00:00, 2012-01-15 00:00:00, 2016-04-20 00:00:00, 2014-09-21 00:00:00, 2013-09-01 00:00:00, 2012-12-01 00:00:00, 2013-10-26 00:00:00, 2012-04-29 00:00:00, 2014-03-08 00:00:00, 2014-05-17 00:00:00, 2014-03-29 00:00:00, 2014-01-19 00:00:00, 2010-12-18 00:00:00, 2016-05-14 00:00:00, 2014-11-01 00:00:00, 2012-03-31 00:00:00, 2015-11-21 00:00:00, 2015-12-05 00:00:00]
5520|4763|3|[International]|[1, 2, 4]|[International - FIFA World Cup]|[776_7532, 776_7547, 776_7581]|[Group Stage, Round of 16]|[available]|[Denmark]|[Denmark]|[Denmark]|[7581, 7547, 7532]|[2018]|[male]|[2018]|[776]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-21 00:00:00, 2018-07-01 00:00:00]
5528|5526|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[784_7546, 784_7532, 784_7562]|[Group Stage]|[available]|[Peru]|[Peru]|[Peru]|[7562, 7546, 7532]|[2018]|[male]|[2018]|[784]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-21 00:00:00, 2018-06-26 00:00:00]
5536|5516|3|[International]|[1, 2, 4]|[International - FIFA World Cup]|[776_7532, 776_7547, 776_7581]|[Group Stage, Round of 16]|[available]|[Denmark]|[Denmark]|[Denmark]|[7581, 7547, 7532]|[2018]|[male]|[2018]|[776]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-21 00:00:00, 2018-07-01 00:00:00]
5551|3054|5|[International]|[3, 1, 2, 5, 4]|[International - FIFA World Cup]|[781_7533, 781_8650, 781_7548, 781_7583, 781_7565]|[Group Stage, Round of 16, Quarter-finals]|[available]|[Brazil]|[Brazil]|[Brazil]|[7565, 8650, 7548, 7533, 7583]|[2018]|[male]|[2018]|[781]|[FIFA World Cup]|[2018-07-06 00:00:00, 2018-06-17 00:00:00, 2018-07-02 00:00:00, 2018-06-27 00:00:00, 2018-06-22 00:00:00]
5553|3501|3|[International]|[3, 1, 5]|[International - FIFA World Cup]|[781_7533, 781_8650, 781_7565]|[Group Stage, Quarter-finals]|[available]|[Brazil]|[Brazil]|[Brazil]|[7565, 8650, 7533]|[2018]|[male]|[2018]|[781]|[FIFA World Cup]|[2018-07-06 00:00:00, 2018-06-17 00:00:00, 2018-06-27 00:00:00]
5554|5543|3|[International]|[1, 2, 4]|[International - FIFA World Cup]|[773_7533, 773_7586, 773_7550]|[Group Stage, Round of 16]|[available]|[Switzerland]|[Switzerland]|[Switzerland]|[7586, 7550, 7533]|[2018]|[male]|[2018]|[773]|[FIFA World Cup]|[2018-07-03 00:00:00, 2018-06-17 00:00:00, 2018-06-22 00:00:00]
5561|5556|3|[International]|[3, 1, 4]|[International - FIFA World Cup]|[794_7534, 794_7566, 794_7583]|[Group Stage, Round of 16]|[available]|[Mexico]|[Mexico]|[Mexico]|[7534, 7566, 7583]|[2018]|[male]|[2018]|[794]|[FIFA World Cup]|[2018-06-17 00:00:00, 2018-07-02 00:00:00, 2018-06-27 00:00:00]
