5227|5226|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[797_7557, 797_7543, 797_7577]|[Group Stage]|[available]|[Iran, Islamic Republic of]|[Iran, Islamic Republic of]|[Iran]|[7543, 7577, 7557]|[2018]|[male]|[2018]|[797]|[FIFA World Cup]|[2018-06-25 00:00:00, 2018-06-20 00:00:00, 2018-06-15 00:00:00]
5256|5248|5|[International]|[3, 1, 2, 5, 4]|[International - FIFA World Cup]|[783_8649, 783_7579, 783_7578, 783_7558, 783_7544]|[Group Stage, Round of 16, Quarter-finals]|[available]|[Uruguay]|[Uruguay]|[Uruguay]|[7579, 7578, 7558, 7544, 8649]|[2018]|[male]|[2018]|[783]|[FIFA World Cup]|[2018-07-06 00:00:00, 2018-06-30 00:00:00, 2018-06-25 00:00:00, 2018-06-20 00:00:00, 2018-06-15 00:00:00]
5256|5249|8|[International, Spain, Europe]|[3, 1, 2, 5, 4, 19, 35, 7]|[International - FIFA World Cup, Europe - Champions League, Spain - La Liga]|[783_8649, 212_18241, 783_7579, 783_7578, 212_265830, 783_7558, 212_70284, 783_7544]|[Group Stage, Final, Regular Season, Round of 16, Quarter-finals]|[available]|[Uruguay]|[Uruguay]|[Uruguay, Atlético Madrid]|[7579, 265830, 7578, 7558, 18241, 70284, 7544, 8649]|[2012/2013, 2013/2014, 2018]|[male]|[2012/2013, 2013/2014, 2018]|[783, 212]|[La Liga, Champions League, FIFA World Cup]|[2018-07-06 00:00:00, 2018-06-30 00:00:00, 2018-06-25 00:00:00, 2013-05-12 00:00:00, 2014-05-24 00:00:00, 2018-06-20 00:00:00, 2018-06-15 00:00:00, 2014-01-11 00:00:00]
5471|5454|2|[International]|[1, 2]|[International - FIFA World Cup]|[775_7529, 775_7549]|[Group Stage]|[available]|[Nigeria]|[Nigeria]|[Nigeria]|[7529, 7549]|[2018]|[male]|[2018]|[775]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-22 00:00:00]
5492|5477|29|[International, Spain]|[29, 3, 26, 1, 2, 30, 5, 32, 24, 4, 35, 33, 36, 25, 13, 31, 27, 34, 6]|[International - FIFA World Cup, Spain - La Liga]|[217_15986, 771_8649, 217_15946, 217_9827, 217_16275, 217_9602, 217_15978, 217_16190, 217_15998, 217_9870, 217_9592, 217_9912, 217_16205, 217_9860, 217_16265, 217_15956, 217_9811, 217_9799, 217_9837, 217_9889, 217_9855, 217_16196, 217_15973, 217_16289, 217_9880, 771_7546, 771_7530, 217_16073, 217_9924]|[Group Stage, Regular Season, Quarter-finals]|[available]|[France]|[France]|[France, Barcelona]|[9880, 15946, 15956, 16190, 16073, 9870, 15986, 9924, 8649, 9827, 16265, 9837, 9855, 9811, 16205, 15978, 9860, 9592, 9912, 15973, 7530, 7546, 9799, 9602, 9889, 15998, 16289, 16275, 16196]|[2018, 2018/2019, 2017/2018]|[male]|[2018, 2018/2019, 2017/2018]|[771, 217]|[La Liga, FIFA World Cup]|[2017-09-09 00:00:00, 2018-06-16 00:00:00, 2018-06-21 00:00:00, 2018-08-25 00:00:00, 2018-02-17 00:00:00, 2019-03-02 00:00:00, 2018-09-15 00:00:00, 2018-09-02 00:00:00, 2019-04-23 00:00:00, 2019-03-09 00:00:00, 2019-02-23 00:00:00, 2018-09-23 00:00:00, 2019-04-20 00:00:00, 2018-02-24 00:00:00, 2018-03-01 00:00:00, 2018-04-17 00:00:00, 2018-04-07 00:00:00, 2018-03-04 00:00:00, 2018-04-14 00:00:00, 2018-05-06 00:00:00, 2018-03-31 00:00:00, 2018-07-06 00:00:00, 2018-11-24 00:00:00, 2018-09-26 00:00:00, 2019-04-27 00:00:00, 2017-09-16 00:00:00, 2018-03-18 00:00:00, 2018-08-18 00:00:00, 2018-04-29 00:00:00]
5514|5505|2|[International]|[1, 2]|[International - FIFA World Cup]|[793_7531, 793_7549]|[Group Stage]|[available]|[Iceland]|[Iceland]|[Iceland]|[7531, 7549]|[2018]|[male]|[2018]|[793]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-22 00:00:00]
5529|5525|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[784_7546, 784_7532, 784_7562]|[Group Stage]|[available]|[Peru]|[Peru]|[Peru]|[7562, 7546, 7532]|[2018]|[male]|[2018]|[784]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-21 00:00:00, 2018-06-26 00:00:00]
5532|5526|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[784_7546, 784_7532, 784_7562]|[Group Stage]|[available]|[Peru]|[Peru]|[Peru]|[7562, 7546, 7532]|[2018]|[male]|[2018]|[784]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-21 00:00:00, 2018-06-26 00:00:00]
5539|5201|9|[Spain, Europe]|[17, 26, 31, 14, 33, 7, 36]|[Europe - Champions League, Spain - La Liga]|[220_18243, 220_267569, 220_18244, 220_16196, 220_9736, 220_18245, 220_267533, 220_267076, 220_9924]|[Final, Regular Season]|[available]|[Brazil]|[Spain]|[Real Madrid]|[267533, 18245, 267569, 267076, 18243, 18244, 16196, 9924, 9736]|[2015/2016, 2018/2019, 2016/2017, 2017/2018]|[male]|[2015/2016, 2018/2019, 2016/2017, 2017/2018]|[220]|[La Liga, Champions League]|[2017-12-23 00:00:00, 2016-05-28 00:00:00, 2019-03-02 00:00:00, 2017-04-23 00:00:00, 2016-12-03 00:00:00, 2018-05-06 00:00:00, 2018-05-26 00:00:00, 2016-04-02 00:00:00, 2017-06-03 00:00:00]
5547|3473|1|[Europe]|[13]|[Europe - Champions League]|[24_22912]|[Final]|[available]|[Brazil]|[England]|[Liverpool]|[22912]|[2018/2019]|[male]|[2018/2019]|[24]|[Champions League]|[2019-06-01 00:00:00]
5558|3672|11|[Spain]|[20, 3, 21, 15, 27, 8, 4, 34, 9, 6, 18]|[Spain - La Liga]|[217_69253, 217_69214, 217_69254, 217_69267, 217_69292, 217_69240, 217_69227, 217_69256, 217_69220, 217_69277, 217_69243]|[Regular Season]|[available]|[Mexico]|[Sweden]|[Barcelona]|[69256, 69243, 69277, 69227, 69292, 69267, 69214, 69253, 69220, 69240, 69254]|[2009/2010]|[male]|[2009/2010]|[217]|[La Liga]|[2009-09-22 00:00:00, 2010-01-30 00:00:00, 2010-02-06 00:00:00, 2009-10-31 00:00:00, 2009-10-03 00:00:00, 2010-03-21 00:00:00, 2010-04-24 00:00:00, 2010-01-16 00:00:00, 2009-09-19 00:00:00, 2009-12-02 00:00:00, 2009-10-25 00:00:00]
5615|5607|4|[International]|[3, 1, 2, 4]|[International - FIFA World Cup]|[790_7566, 790_7551, 790_7586, 790_7538]|[Group Stage, Round of 16]|[available]|[Sweden]|[Sweden]|[Sweden]|[7586, 7566, 7551, 7538]|[2018]|[male]|[2018]|[790]|[FIFA World Cup]|[2018-06-23 00:00:00, 2018-07-03 00:00:00, 2018-06-18 00:00:00, 2018-06-27 00:00:00]
5632|3176|1|[International]|[1]|[International - FIFA World Cup]|[782_7536]|[Group Stage]|[available]|[Belgium]|[Belgium]|[Belgium]|[7536]|[2018]|[male]|[2018]|[782]|[FIFA World Cup]|[2018-06-18 00:00:00]
5642|4831|5|[International]|[1, 5, 4, 7, 6]|[International - FIFA World Cup]|[782_8655, 782_8650, 782_7536, 782_7584, 782_8657]|[Group Stage, 3rd Place Final, Semi-finals, Round of 16, Quarter-finals]|[available]|[Belgium]|[Belgium]|[Belgium]|[8657, 8655, 8650, 7584, 7536]|[2018]|[male]|[2018]|[782]|[FIFA World Cup]|[2018-07-06 00:00:00, 2018-07-10 00:00:00, 2018-07-02 00:00:00, 2018-07-14 00:00:00, 2018-06-18 00:00:00]
5670|5662|2|[International]|[3, 1]|[International - FIFA World Cup]|[789_7539, 789_7572]|[Group Stage]|[available]|[Poland]|[Poland]|[Poland]|[7572, 7539]|[2018]|[male]|[2018]|[789]|[FIFA World Cup]|[2018-06-28 00:00:00, 2018-06-19 00:00:00]
