212|6401|1|[212_6401]
422|19331|1|[422_19331]
207|12737|1|[207_12737]
791|5989|1|[791_5989]
207|6586|1|[207_6586]
212|5633|1|[212_5633]
749|31550|1|[749_31550]
789|6336|1|[789_6336]
749|15572|1|[749_15572]
217|18882|1|[217_18882]
221|5678|1|[221_5678]
214|6757|1|[214_6757]
322|7105|1|[322_7105]
217|8652|1|[217_8652]
360|27121|1|[360_27121]
216|27204|1|[216_27204]
217|3478|1|[217_3478]
222|25984|1|[222_25984]
973|31527|1|[973_31527]
1209|24462|1|[1209_24462]
857|10261|1|[857_10261]
789|5660|1|[789_5660]
787|18240|1|[787_18240]
207|26398|1|[207_26398]
395|26025|1|[395_26025]
965|16378|1|[965_16378]
1049|23761|1|[1049_23761]
1211|25454|1|[1211_25454]
791|5988|1|[791_5988]
217|26507|1|[217_26507]
216|26055|1|[216_26055]
1217|25870|1|[1217_25870]
798|6344|1|[798_6344]
