785|5472|1|[785_5472]
211|6888|1|[211_6888]
214|6866|1|[214_6866]
1217|23929|1|[1217_23929]
214|6766|1|[214_6766]
789|5672|1|[789_5672]
973|16389|1|[973_16389]
422|25896|1|[422_25896]
1049|6724|1|[1049_6724]
207|25144|1|[207_25144]
216|6873|1|[216_6873]
33|3956|1|[33_3956]
799|5190|1|[799_5190]
222|6935|1|[222_6935]
1216|25747|1|[1216_25747]
771|5492|1|[771_5492]
866|10188|1|[866_10188]
857|15648|1|[857_15648]
783|5248|1|[783_5248]
780|5723|1|[780_5723]
209|25971|1|[209_25971]
761|5100|1|[761_5100]
