243|19634|1|[243_19634]
395|3606|1|[395_3606]
403|26651|1|[403_26651]
212|5199|1|[212_5199]
1216|25746|1|[1216_25746]
216|26849|1|[216_26849]
207|27482|1|[207_27482]
746|4646|1|[746_4646]
1107|25813|1|[1107_25813]
218|25940|1|[218_25940]
214|6902|1|[214_6902]
627|26629|1|[627_26629]
857|25491|1|[857_25491]
1043|26705|1|[1043_26705]
901|5588|1|[901_5588]
212|5461|1|[212_5461]
210|6679|1|[210_6679]
395|24578|1|[395_24578]
222|7669|1|[222_7669]
38|40276|1|[38_40276]
552|25965|1|[552_25965]
627|6607|1|[627_6607]
213|3610|1|[213_3610]
