1215|4948|1|[1215_4948]
210|3042|1|[210_3042]
776|5732|1|[776_5732]
219|26222|1|[219_26222]
216|26195|1|[216_26195]
1204|25641|1|[1204_25641]
212|12737|1|[212_12737]
787|3684|1|[787_3684]
422|26611|1|[422_26611]
209|25968|1|[209_25968]
243|15781|1|[243_15781]
1205|25742|1|[1205_25742]
213|26017|1|[213_26017]
39|40246|1|[39_40246]
218|18407|1|[218_18407]
444|26238|1|[444_26238]
256|40845|1|[256_40845]
209|25978|1|[209_25978]
322|27343|1|[322_27343]
219|26169|1|[219_26169]
966|24720|1|[966_24720]
38|40277|1|[38_40277]
207|6763|1|[207_6763]
1049|6680|1|[1049_6680]
217|26409|1|[217_26409]
33|3272|1|[33_3272]
797|5241|1|[797_5241]
901|19396|1|[901_19396]
795|5839|1|[795_5839]
218|25892|1|[218_25892]
1230|26503|1|[1230_26503]
