785|5474|1|[785_5474]
223|3659|1|[223_3659]
766|5055|1|[766_5055]
360|25920|1|[360_25920]
1210|25636|1|[1210_25636]
208|4265|1|[208_4265]
779|3602|1|[779_3602]
798|5636|1|[798_5636]
33|40258|1|[33_40258]
224|5743|1|[224_5743]
852|10392|1|[852_10392]
360|26799|1|[360_26799]
766|5088|1|[766_5088]
857|10258|1|[857_10258]
778|3300|1|[778_3300]
785|6311|1|[785_6311]
403|26494|1|[403_26494]
224|3951|1|[224_3951]
795|5581|1|[795_5581]
180|10287|1|[180_10287]
395|23942|1|[395_23942]
1217|26163|1|[1217_26163]
1208|25623|1|[1208_25623]
796|5172|1|[796_5172]
768|3612|1|[768_3612]
221|26398|1|[221_26398]
24|9845|1|[24_9845]
799|5192|1|[799_5192]
210|8522|1|[210_8522]
221|3497|1|[221_3497]
1207|25749|1|[1207_25749]
