223|6713|1|[223_6713]
966|15618|1|[966_15618]
966|15611|1|[966_15611]
1212|25772|1|[1212_25772]
773|6359|1|[773_6359]
220|15775|1|[220_15775]
851|10645|1|[851_10645]
1042|15960|1|[1042_15960]
322|6705|1|[322_6705]
215|8540|1|[215_8540]
788|5243|1|[788_5243]
98|40398|1|[98_40398]
777|6347|1|[777_6347]
218|22235|1|[218_22235]
209|6802|1|[209_6802]
1049|8697|1|[1049_8697]
212|26391|1|[212_26391]
218|6655|1|[218_6655]
223|26254|1|[223_26254]
75|40376|1|[75_40376]
785|6308|1|[785_6308]
206|6566|1|[206_6566]
768|3233|1|[768_3233]
