1043|23791|1|[1043_23791]
1|23816|1|[1_23816]
37|40228|1|[37_40228]
212|20883|1|[212_20883]
220|25930|1|[220_25930]
1209|25694|1|[1209_25694]
403|26436|1|[403_26436]
220|8060|1|[220_8060]
746|33005|1|[746_33005]
772|5208|1|[772_5208]
215|26086|1|[215_26086]
216|6733|1|[216_6733]
322|25707|1|[322_25707]
781|3295|1|[781_3295]
773|5546|1|[773_5546]
217|8668|1|[217_8668]
218|26589|1|[218_26589]
223|6740|1|[223_6740]
901|11304|1|[901_11304]
209|27054|1|[209_27054]
47|40322|1|[47_40322]
208|6927|1|[208_6927]
210|6690|1|[210_6690]
215|6387|1|[215_6387]
220|6836|1|[220_6836]
780|3329|1|[780_3329]
219|6733|1|[219_6733]
773|5541|1|[773_5541]
222|5249|1|[222_5249]
216|26252|1|[216_26252]
209|10759|1|[209_10759]
1041|11540|1|[1041_11540]
969|31565|1|[969_31565]
