901|11301|1|[901_11301]
901|6693|1|[901_6693]
213|20267|1|[213_20267]
322|7900|1|[322_7900]
851|10648|1|[851_10648]
222|26721|1|[222_26721]
59|40362|1|[59_40362]
902|11671|1|[902_11671]
216|5693|1|[216_5693]
1217|26123|1|[1217_26123]
796|6353|1|[796_6353]
213|26015|1|[213_26015]
223|26224|1|[223_26224]
1217|7125|1|[1217_7125]
360|26612|1|[360_26612]
403|25824|1|[403_25824]
215|15608|1|[215_15608]
608|25899|1|[608_25899]
973|15618|1|[973_15618]
218|24143|1|[218_24143]
776|3815|1|[776_3815]
767|5027|1|[767_5027]
